title,news_url,vedio_url
聊天險出人命！內湖男遭甩巴掌　持水果刀狂刺2女友人下場曝,https://www.ettoday.net/news/news/20220726/2302308.htm,https://www.ettoday.net/tools/player/885434-306994?title=%E8%B1%AA%E5%AE%85%E5%90%83%E5%AE%B5%E5%A4%9C%E7%AB%9F%E7%88%86%E6%BF%BA%E8%A1%80%E8%A1%9D%E7%AA%81%EF%BC%81%E3%80%802%E5%A5%B31%E7%94%B7%E4%B8%AD%E5%88%80%E9%80%81%E9%86%AB%E4%BA%92%E6%8E%A7%E5%B0%8D%E6%96%B9%E8%A1%8C%E5%85%87&bid=boba_preroll_web&show_ad=1&uccu=3
砂石車輾死13歲獨生女關鍵曝！首次搭公車卻遇劫　父母悲慟自責,https://www.ettoday.net/news/news/20220726/2302288.htm,https://www.ettoday.net/tools/player/961639-336545?title=%E5%B9%B3%E5%B8%B8%E9%83%BD%E7%88%B8%E7%88%B8%E6%8E%A5%E9%80%81...%E5%9C%8B%E4%B8%80%E5%A5%B3%E6%9A%91%E8%BC%94%E9%A6%96%E6%AC%A1%E6%90%AD%E8%BB%8A%E8%BF%94%E5%AE%B6%E9%81%AD%E8%BC%BE%E6%96%83%EF%BC%81%E6%AF%8D%E5%93%AD%E5%96%8A%E5%BF%AB%E8%B5%B7%E4%BE%86&bid=boba_preroll_web&show_ad=1&uccu=3
無法連網追劇！火爆哥上全國電子砸家電打店員　家屬刷11萬善後,https://www.ettoday.net/news/news/20220726/2302319.htm,https://www.ettoday.net/tools/player/961897-336639?title=%E7%84%A1%E6%B3%95%E9%80%A3%E7%B6%B2%E8%BF%BD%E5%8A%87%EF%BC%81%E7%81%AB%E7%88%86%E5%93%A5%E4%B8%8A%E5%85%A8%E5%9C%8B%E9%9B%BB%E5%AD%90%E7%A0%B8%E5%AE%B6%E9%9B%BB%E6%89%93%E5%BA%97%E5%93%A1%E3%80%80%E5%AE%B6%E5%B1%AC%E5%88%B711%E8%90%AC%E5%96%84%E5%BE%8C&bid=boba_preroll_web&show_ad=1&uccu=3
影片曝！天母特斯拉地下室「無剎車暴衝」　經典款保時捷911毀容,https://www.ettoday.net/news/news/20220726/2302253.htm,https://www.ettoday.net/tools/player/961892-336638?title=%E5%BD%B1%E7%89%87%E6%9B%9D%EF%BC%81%E5%A4%A9%E6%AF%8D%E7%89%B9%E6%96%AF%E6%8B%89%E5%9C%B0%E4%B8%8B%E5%AE%A4%E3%80%8C%E7%84%A1%E5%89%8E%E8%BB%8A%E6%9A%B4%E8%A1%9D%E3%80%8D%E3%80%80%E7%B6%93%E5%85%B8%E6%AC%BE%E4%BF%9D%E6%99%82%E6%8D%B7911%E6%AF%80%E5%AE%B9&bid=boba_preroll_web&show_ad=1&uccu=3
屏東市勝利星村女遊客鞋子被偷　單車背包男子幹的,https://www.ettoday.net/news/news/20220726/2302246.htm,https://www.ettoday.net/tools/player/961880-336635?title=%E5%B1%8F%E6%9D%B1%E5%B8%82%E5%8B%9D%E5%88%A9%E6%98%9F%E6%9D%91%E5%A5%B3%E9%81%8A%E5%AE%A2%E9%9E%8B%E5%AD%90%E8%A2%AB%E5%81%B7%E3%80%80%E5%96%AE%E8%BB%8A%E8%83%8C%E5%8C%85%E7%94%B7%E5%AD%90%E5%B9%B9%E7%9A%84&bid=boba_preroll_web&show_ad=1&uccu=3
獨／滷味攤老闆遭開槍爆頭　母剛好有事短暫外出「逃過死劫」　,https://www.ettoday.net/news/news/20220726/2302234.htm,https://www.ettoday.net/tools/player/961905-336642?title=%E6%BB%B7%E5%91%B3%E6%94%A4%E8%80%81%E9%97%86%E6%9C%8910%E5%B9%B4%E5%A5%B3%E5%8F%8B%E3%80%80%E5%8E%BB%E6%A7%8D%E6%89%8B%E5%89%8D%E5%A6%BB%E5%BA%97%E6%B6%88%E8%B2%BB%E6%83%B9%E6%AE%BA%E6%A9%9F&bid=boba_preroll_web&show_ad=1&uccu=3
獨／黔園富少驚爆販毒遭起訴！大麻、搖頭丸都有賣　最少判10年,https://www.ettoday.net/news/news/20220726/2302197.htm,https://www.ettoday.net/tools/player/961847-336628?title=%E9%BB%94%E5%9C%92%E5%AF%8C%E5%B0%91%E9%A9%9A%E7%88%86%E8%B2%A9%E6%AF%92%E9%81%AD%E8%B5%B7%E8%A8%B4%EF%BC%81%E5%A4%A7%E9%BA%BB%E3%80%81%E6%90%96%E9%A0%AD%E4%B8%B8%E9%83%BD%E6%9C%89%E8%B3%A3%E3%80%80%E6%9C%80%E5%B0%91%E5%88%A410%E5%B9%B4&bid=boba_preroll_web&show_ad=1&uccu=3
驚悚畫面曝！桃園女騎士遭貨車高速追撞　「人車噴飛」搶救不治,https://www.ettoday.net/news/news/20220726/2302206.htm,https://www.ettoday.net/tools/player/961831-336619?title=%E9%A9%9A%E6%82%9A%E7%95%AB%E9%9D%A2%E6%9B%9D%EF%BC%81%E6%A1%83%E5%9C%92%E5%A5%B3%E9%A8%8E%E5%A3%AB%E9%81%AD%E8%B2%A8%E8%BB%8A%E9%AB%98%E9%80%9F%E8%BF%BD%E6%92%9E%E3%80%80%E3%80%8C%E4%BA%BA%E8%BB%8A%E5%99%B4%E9%A3%9B%E3%80%8D%E6%90%B6%E6%95%91%E4%B8%8D%E6%B2%BB&bid=boba_preroll_web&show_ad=1&uccu=3
槍手前妻開「個人工作室」！　滷味老闆上門消費被撞見惹殺機,https://www.ettoday.net/news/news/20220726/2302194.htm,https://www.ettoday.net/tools/player/961494-336493?title=%E7%96%91%E6%92%9E%E8%A6%8B%E5%89%8D%E5%A6%BB%E7%B4%84%E6%9C%83%E5%9F%8B%E6%AE%BA%E6%A9%9F%EF%BC%81BMW%E7%94%B73%E6%A7%8D%E7%88%86%E9%A0%AD%E6%BB%B7%E5%91%B3%E6%94%A4%E8%80%81%E9%97%86%E3%80%80%E8%BB%8A%E6%A3%84%E5%B1%B1%E5%8D%80%E9%80%83%E9%80%B8&bid=boba_preroll_web&show_ad=1&uccu=3
滷味攤命案！槍手是「知名偶像劇」取景飯店主廚　老闆曝他狀況,https://www.ettoday.net/news/news/20220726/2302100.htm,https://www.ettoday.net/tools/player/961837-336622?title=%E6%BB%B7%E5%91%B3%E6%94%A4%E5%91%BD%E6%A1%88%EF%BC%81%E6%A7%8D%E6%89%8B%E6%98%AF%E3%80%8C%E7%9F%A5%E5%90%8D%E5%81%B6%E5%83%8F%E5%8A%87%E3%80%8D%E5%8F%96%E6%99%AF%E9%A3%AF%E5%BA%97%E4%B8%BB%E5%BB%9A%E3%80%80%E8%80%81%E9%97%86%E6%9B%9D%E4%BB%96%E7%8B%80%E6%B3%81&bid=boba_preroll_web&show_ad=1&uccu=3
滷味攤命案「兇嫌前妻」起底！從事八大行業　1行為害老闆被轟頭,https://www.ettoday.net/news/news/20220726/2302007.htm,https://www.ettoday.net/tools/player/961453-336484?title=%E9%86%8B%E7%94%B7%E7%96%91%E6%92%9E%E8%A6%8B%E5%89%8D%E5%A6%BB%E7%B4%84%E6%9C%83%E6%9A%B4%E6%80%92%E3%80%80%E6%BB%B7%E5%91%B3%E6%94%A4%E8%80%81%E9%97%86%E9%A0%AD%E9%81%AD%E9%96%8B3%E6%A7%8D%E4%BA%A1&bid=boba_preroll_web&show_ad=1&uccu=3
國三甲廂型車自撞「車頭整片扁掉」駕駛昏迷　民眾救援卻聞到酒味,https://www.ettoday.net/news/news/20220726/2302018.htm,https://www.ettoday.net/tools/player/961773-336599?title=%E5%9C%8B%E4%B8%89%E7%94%B2%E5%BB%82%E5%9E%8B%E8%BB%8A%E8%87%AA%E6%92%9E%E5%88%86%E9%9A%94%E5%B3%B6%E3%80%80%E6%B0%91%E7%9C%BE%E6%90%B6%E6%95%91%E9%A7%95%E9%A7%9B%E5%8D%BB%E8%81%9E%E5%88%B0%E9%85%92%E5%91%B3&bid=boba_preroll_web&show_ad=1&uccu=3
遭槍決滷味攤老闆有10年女友　跟兇嫌舊愛關係曝光,https://www.ettoday.net/news/news/20220726/2302005.htm,https://www.ettoday.net/tools/player/961453-336484?title=%E9%86%8B%E7%94%B7%E7%96%91%E6%92%9E%E8%A6%8B%E5%89%8D%E5%A6%BB%E7%B4%84%E6%9C%83%E6%9A%B4%E6%80%92%E3%80%80%E6%BB%B7%E5%91%B3%E6%94%A4%E8%80%81%E9%97%86%E9%A0%AD%E9%81%AD%E9%96%8B3%E6%A7%8D%E4%BA%A1&bid=boba_preroll_web&show_ad=1&uccu=3
快訊／彰化工廠清晨大爆炸！火球夾黑煙竄燒　村民被震醒,https://www.ettoday.net/news/news/20220726/2301996.htm,https://www.ettoday.net/tools/player/961763-336598?title=%E5%BD%B0%E5%8C%96%E5%B7%A5%E5%BB%A0%E6%B8%85%E6%99%A8%E5%A4%A7%E7%88%86%E7%82%B8%E3%80%80%E7%81%AB%E7%90%83%E5%A4%BE%E9%BB%91%E7%85%99%E6%9D%91%E6%B0%91%E9%9C%87%E9%86%92&bid=boba_preroll_web&show_ad=1&uccu=3
追求17歲少女不成「還慘被當面嘲笑」　少年腦羞揪眾鬥毆洩憤,https://www.ettoday.net/news/news/20220726/2301986.htm,https://www.ettoday.net/tools/player/961760-336596?title=%E8%BF%BD%E6%B1%82%E5%B0%91%E5%A5%B3%E4%B8%8D%E6%88%90%E9%82%84%E6%85%98%E8%A2%AB%E5%98%B2%E7%AC%91%E3%80%80%E5%B0%91%E5%B9%B4%E8%85%A6%E7%BE%9E%E6%8F%AA%E7%9C%BE%E9%AC%A5%E6%AF%86%E6%B4%A9%E6%86%A4%EF%BC%81&bid=boba_preroll_web&show_ad=1&uccu=3
滷味攤老闆有10年女友！家屬哭喊「認錯人嗎？」兇嫌遭起底是主廚,https://www.ettoday.net/news/news/20220725/2301931.htm,https://www.ettoday.net/tools/player/961453-336484?title=%E9%86%8B%E7%94%B7%E7%96%91%E6%92%9E%E8%A6%8B%E5%89%8D%E5%A6%BB%E7%B4%84%E6%9C%83%E6%9A%B4%E6%80%92%E3%80%80%E6%BB%B7%E5%91%B3%E6%94%A4%E8%80%81%E9%97%86%E9%A0%AD%E9%81%AD%E9%96%8B3%E6%A7%8D%E4%BA%A1&bid=boba_preroll_web&show_ad=1&uccu=3
14人為7千元債務大亂鬥！亮西瓜刀嗆輸贏　反遭鑰匙狂刺濺血,https://www.ettoday.net/news/news/20220725/2301872.htm,https://www.ettoday.net/tools/player/961713-336575?title=14%E4%BA%BA%E7%82%BA7%E5%8D%83%E5%85%83%E5%82%B5%E5%8B%99%E5%A4%A7%E4%BA%82%E9%AC%A5%EF%BC%81%E4%BA%AE%E8%A5%BF%E7%93%9C%E5%88%80%E5%97%86%E8%BC%B8%E8%B4%8F%E3%80%80%E5%8F%8D%E9%81%AD%E9%91%B0%E5%8C%99%E7%8B%82%E5%88%BA%E6%BF%BA%E8%A1%80&bid=boba_preroll_web&show_ad=1&uccu=3
北宜驚見「殭屍先生」兜風！還對駕駛揮手打招呼...詭異畫面曝,https://www.ettoday.net/news/news/20220725/2301839.htm,https://www.ettoday.net/tools/player/961680-336561?title=%E5%8C%97%E5%AE%9C%E9%A9%9A%E8%A6%8B%E3%80%8C%E6%AE%AD%E5%B1%8D%E5%85%88%E7%94%9F%E3%80%8D%E5%85%9C%E9%A2%A8%EF%BC%81%E9%82%84%E5%B0%8D%E9%A7%95%E9%A7%9B%E6%8F%AE%E6%89%8B%E6%89%93%E6%8B%9B%E5%91%BC...%E8%A9%AD%E7%95%B0%E7%95%AB%E9%9D%A2%E6%9B%9D&bid=boba_preroll_web&show_ad=1&uccu=3
鹽酥雞PK燒烤！客人多到被檢舉違停　他砸酒瓶「勸」好好做生意,https://www.ettoday.net/news/news/20220725/2301825.htm,https://www.ettoday.net/tools/player/961747-336592?title=%E7%87%92%E7%83%A4%E5%BA%97%E5%AE%A2%E4%BA%BA%E5%A4%9A%E5%88%B0%E8%A2%AB%E6%AA%A2%E8%88%89%E9%81%95%E5%81%9C%E3%80%80%E8%AA%8D%E7%82%BA%E9%9A%94%E5%A3%81%E8%88%89%E5%A0%B1%E3%80%8C%E7%A0%B8%E9%85%92%E7%93%B6%E5%8B%B8%E5%91%8A%E3%80%8D&bid=boba_preroll_web&show_ad=1&uccu=3
快訊／苗栗苑裡工廠火警「閃燃」！5消防隊員灼傷送醫,https://www.ettoday.net/news/news/20220725/2301826.htm,https://www.ettoday.net/tools/player/961672-336559?title=%E8%8B%97%E6%A0%97%E8%8B%91%E8%A3%A1%E5%B7%A5%E5%BB%A0%E7%81%AB%E8%AD%A6%E3%80%8C%E9%96%83%E7%87%83%E3%80%8D%EF%BC%815%E6%B6%88%E9%98%B2%E9%9A%8A%E5%93%A1%E7%81%BC%E5%82%B7%E9%80%81%E9%86%AB&bid=boba_preroll_web&show_ad=1&uccu=3
疲倦叔「逆向狂開1公里」　警見大燈射過來驚喊：太扯了吧,https://www.ettoday.net/news/news/20220725/2301828.htm,https://www.ettoday.net/tools/player/961703-336570?title=%E7%96%B2%E5%80%A6%E5%8F%94%E3%80%8C%E9%80%86%E5%90%91%E7%8B%82%E9%96%8B1%E5%85%AC%E9%87%8C%E3%80%8D%E3%80%80%E8%AD%A6%E8%A6%8B%E5%A4%A7%E7%87%88%E5%B0%84%E9%81%8E%E4%BE%86%E9%A9%9A%E5%96%8A%EF%BC%9A%E5%A4%AA%E6%89%AF%E4%BA%86%E5%90%A7&bid=boba_preroll_web&show_ad=1&uccu=3
撞擊畫面曝！砂石車「煞不住」釀捻香夫妻雙亡　機車騎士險賠命,https://www.ettoday.net/news/news/20220725/2301796.htm,https://www.ettoday.net/tools/player/961620-336543?title=%E6%92%9E%E6%93%8A%E7%95%AB%E9%9D%A2%E6%9B%9D%EF%BC%81%E7%A0%82%E7%9F%B3%E8%BB%8A%E3%80%8C%E7%85%9E%E4%B8%8D%E4%BD%8F%E3%80%8D%E9%87%80%E6%8D%BB%E9%A6%99%E5%A4%AB%E5%A6%BB%E9%9B%99%E4%BA%A1%E3%80%80%E6%A9%9F%E8%BB%8A%E9%A8%8E%E5%A3%AB%E9%9A%AA%E8%B3%A0%E5%91%BD&bid=boba_preroll_web&show_ad=1&uccu=3
